country,newCase,newDeaths
Western Sahara,0,0
Colombia,1521,36
Kenya,123,3
Indonesia,684,35
Belgium,70,17
Zimbabwe,16,0
Belize,0,0
Lithuania,2,0
Trinidad and Tobago,0,0
Suriname,20,0
Sao Tome and Principe,0,0
United Kingdom,1871,359
Cote d'Ivoire,0,0
Laos,0,0
Denmark,37,0
Bolivia,647,24
Anguilla,0,0
Romania,152,9
Guam,2,0
Hungary,0,0
Sint Maarten (Dutch part),0,0
Kazakhstan,271,4
Saint Vincent and the Grenadines,0,0
Seychelles,0,0
Australia,8,0
Czech Republic,74,1
Malaysia,93,0
Kyrgyzstan,28,0
Brunei,0,0
Montserrat,0,0
Isle of Man,0,0
Gibraltar,1,0
Falkland Islands,0,0
Antigua and Barbuda,1,0
Cuba,15,0
Bonaire Sint Eustatius and Saba,0,0
Ghana,251,0
Qatar,1901,2
Guinea,42,0
Timor,0,0
Estonia,10,1
Cape Verde,11,0
South Sudan,0,0
Montenegro,0,0
Zambia,0,0
Vatican,0,0
Uruguay,2,0
Madagascar,63,0
Puerto Rico,88,2
Serbia,69,0
Guatemala,174,20
Japan,32,3
Bangladesh,2695,37
Aruba,0,0
Taiwan,0,0
Lebanon,14,0
Venezuela,133,2
Panama,514,99
Slovakia,3,0
Mexico,3912,1091
Dominican Republic,288,1
India,9304,260
Haiti,133,2
China,1,0
Morocco,56,0
Russia,8536,178
Nigeria,347,1
Mongolia,1,0
Bosnia and Herzegovina,16,0
Portugal,366,11
Bhutan,0,0
Myanmar,1,0
Poland,0,0
Mauritania,0,0
Fiji,0,0
Bermuda,0,0
Lesotho,0,0
Jordan,2,0
Germany,394,30
Mauritius,0,0
Somalia,57,0
Kuwait,710,4
Burkina Faso,1,0
South Africa,1713,37
Gambia,0,0
Tajikistan,87,0
Guyana,0,0
Syria,0,0
New Zealand,0,0
Dominica,0,0
Thailand,18,0
British Virgin Islands,0,0
Democratic Republic of Congo,169,3
Rwanda,13,0
Ireland,45,1
Maldives,9,0
Bahamas,0,0
Jersey,1,0
Chile,4942,87
Bahrain,504,1
Ethiopia,142,3
Costa Rica,52,0
Mali,0,0
Curacao,0,0
Pakistan,4801,82
Cambodia,0,0
Liberia,5,0
Jamaica,0,0
San Marino,0,0
Tunisia,1,1
Greenland,0,0
Swaziland,2,0
Algeria,0,0
Cyprus,6,0
Bulgaria,47,3
Guinea-Bissau,0,0
Peru,8875,260
Uzbekistan,105,1
Sri Lanka,66,0
Saudi Arabia,2171,30
Ukraine,588,12
Austria,31,1
Guernsey,0,0
Nepal,201,1
Moldova,247,3
Slovenia,2,0
United Arab Emirates,571,1
United States Virgin Islands,0,0
Iran,3134,70
Afghanistan,758,24
French Polynesia,0,0
Libya,14,0
Namibia,0,0
Switzerland,19,3
Italy,321,71
Niger,1,0
Burundi,0,0
Finland,24,1
Tanzania,0,0
Comoros,0,0
Papua New Guinea,0,0
Yemen,4,1
Angola,0,0
Turks and Caicos Islands,0,0
World,126350,5741
Norway,0,0
Grenada,0,0
Netherlands,86,10
Luxembourg,0,0
Saint Kitts and Nevis,0,0
Croatia,0,0
Gabon,99,0
Greece,19,0
Barbados,0,0
Sudan,0,0
Mozambique,9,0
Argentina,949,14
Azerbaijan,325,5
Malta,2,0
El Salvador,52,2
Eritrea,1,0
Botswana,2,0
Israel,87,1
Malawi,11,0
Equatorial Guinea,0,0
Albania,20,0
Congo,7,0
Cameroon,167,0
Nicaragua,0,0
Kosovo,75,0
France,352,81
Monaco,0,0
Iraq,781,21
Paraguay,57,0
Palestine,5,0
Canada,675,103
Egypt,1079,36
Senegal,96,2
Oman,738,8
Armenia,515,12
Georgia,0,0
Macedonia,101,4
Benin,0,0
Sierra Leone,13,1
Honduras,163,9
Djibouti,156,1
Saint Lucia,0,0
Philippines,751,8
Chad,17,0
Northern Mariana Islands,1,0
Ecuador,552,48
Cayman Islands,5,0
Turkey,867,24
Liechtenstein,0,0
Andorra,7,0
Belarus,861,5
Latvia,0,0
Togo,7,0
Singapore,569,0
Faeroe Islands,0,0
Brazil,28633,1349
South Korea,39,0
United States,19699,994
Uganda,18,0
Central African Republic,16,0
Sweden,2214,74
Vietnam,0,0
Iceland,0,0
New Caledonia,0,0
International,-9,1
